_id,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,ObjectId,geometry
1,GO-2005901779,2005-02-06T00:00:00,2005,February,Sunday,23,Evening,D43,0,0,139.0,Scarborough Village (139),1,"{u'type': u'Point', u'coordinates': (-79.21887335, 43.74318039)}"
2,GO-2005928264,2005-02-07T00:00:00,2005,February,Monday,21,Evening,D32,0,1,37.0,Willowdale West (37),2,"{u'type': u'Point', u'coordinates': (-79.41553623, 43.77976942)}"
3,GO-2005832576,2005-02-09T00:00:00,2005,February,Wednesday,20,Evening,D51,0,1,73.0,Moss Park (73),3,"{u'type': u'Point', u'coordinates': (-79.37099208, 43.65829436)}"
4,GO-2005951634,2005-02-11T00:00:00,2005,February,Friday,17,Afternoon,D33,1,0,76.0,Bay Street Corridor (76),4,"{u'type': u'Point', u'coordinates': (-79.38581514, 43.66081576)}"
5,GO-2005901792,2005-02-11T00:00:00,2005,February,Friday,0,Night,D42,0,1,136.0,West Hill (136),5,"{u'type': u'Point', u'coordinates': (-79.1947012, 43.76201197)}"
6,GO-2005787630,2005-02-12T00:00:00,2005,February,Saturday,23,Evening,D14,0,2,78.0,Kensington-Chinatown (78),6,"{u'type': u'Point', u'coordinates': (-79.40648042, 43.65672138)}"
7,GO-2005736672,2005-02-12T00:00:00,2005,February,Saturday,0,Night,D23,1,0,2.0,Mount Olive-Silverstone-Jamestown (2),7,"{u'type': u'Point', u'coordinates': (-79.58705964, 43.75362093)}"
8,GO-2005955160,2005-02-13T00:00:00,2005,February,Sunday,0,Night,D23,0,0,3.0,Thistletown-Beaumond Heights (3),8,"{u'type': u'Point', u'coordinates': (-79.56135093, 43.73535778)}"
9,GO-2005918414,2005-02-15T00:00:00,2005,February,Tuesday,23,Evening,D51,1,0,71.0,Cabbagetown-South St.James Town (71),9,"{u'type': u'Point', u'coordinates': (-79.37373773, 43.66729501)}"
10,GO-2005955718,2005-02-20T00:00:00,2005,February,Sunday,0,Night,D52,0,1,77.0,Waterfront Communities-The Island (77),10,"{u'type': u'Point', u'coordinates': (-79.38864414, 43.64819947)}"
11,GO-2005943518,2005-02-21T00:00:00,2005,February,Monday,0,Night,D55,0,1,70.0,South Riverdale (70),11,"{u'type': u'Point', u'coordinates': (-79.33921751, 43.66541664)}"
12,GO-2005943440,2005-02-26T00:00:00,2005,February,Saturday,1,Night,D43,0,2,138.0,Eglinton East (138),12,"{u'type': u'Point', u'coordinates': (-79.23521611, 43.73952891)}"
13,GO-2005776194,2005-02-27T00:00:00,2005,February,Sunday,2,Night,D43,0,1,137.0,Woburn (137),13,"{u'type': u'Point', u'coordinates': (-79.23912234, 43.77343652)}"
14,GO-2005969241,2005-02-28T00:00:00,2005,February,Monday,2,Night,D32,1,0,35.0,Westminster-Branson (35),14,"{u'type': u'Point', u'coordinates': (-79.44601222, 43.78591811)}"
15,GO-2005743823,2005-03-27T01:00:00,2005,March,Sunday,14,Afternoon,D31,0,1,24.0,Black Creek (24),30,"{u'type': u'Point', u'coordinates': (-79.51472666, 43.76721178)}"
16,GO-2005953782,2005-03-04T00:00:00,2005,March,Friday,2,Night,D33,0,1,45.0,Parkwoods-Donalda (45),15,"{u'type': u'Point', u'coordinates': (-79.31406969, 43.7442289)}"
17,GO-2005953786,2005-03-05T00:00:00,2005,March,Saturday,20,Evening,D33,1,0,42.0,Banbury-Don Mills (42),16,"{u'type': u'Point', u'coordinates': (-79.35626481, 43.74098188)}"
18,GO-2005968835,2005-03-05T00:00:00,2005,March,Saturday,23,Evening,D42,0,0,117.0,L'Amoreaux (117),17,"{u'type': u'Point', u'coordinates': (-79.30239461, 43.79721854)}"
19,GO-2005949471,2005-03-06T00:00:00,2005,March,Sunday,6,Morning,D43,0,0,137.0,Woburn (137),18,"{u'type': u'Point', u'coordinates': (-79.22279161, 43.75239765)}"
20,GO-2005743293,2005-03-12T00:00:00,2005,March,Saturday,2,Night,D52,0,1,77.0,Waterfront Communities-The Island (77),19,"{u'type': u'Point', u'coordinates': (-79.38864414, 43.64819947)}"
21,GO-2005986104,2005-03-13T00:00:00,2005,March,Sunday,1,Night,D42,0,1,128.0,Agincourt South-Malvern West (128),20,"{u'type': u'Point', u'coordinates': (-79.24844472, 43.79184684)}"
22,GO-2005773526,2005-03-15T01:00:00,2005,March,Tuesday,16,Afternoon,D54,0,1,57.0,Broadview North (57),21,"{u'type': u'Point', u'coordinates': (-79.35083144, 43.68796984)}"
23,GO-2005993468,2005-03-16T01:00:00,2005,March,Wednesday,2,Night,D43,0,1,123.0,Cliffcrest (123),22,"{u'type': u'Point', u'coordinates': (-79.2351622, 43.72271441)}"
24,GO-20051030464,2005-03-17T01:00:00,2005,March,Thursday,10,Morning,D51,0,0,73.0,Moss Park (73),23,"{u'type': u'Point', u'coordinates': (-79.37008264, 43.65616228)}"
25,GO-2005946945,2005-03-20T01:00:00,2005,March,Sunday,20,Evening,D31,0,1,24.0,Black Creek (24),24,"{u'type': u'Point', u'coordinates': (-79.51614161, 43.75984076)}"
26,GO-20051016691,2005-03-21T01:00:00,2005,March,Monday,17,Afternoon,D32,0,1,31.0,Yorkdale-Glen Park (31),25,"{u'type': u'Point', u'coordinates': (-79.45046841, 43.72066198)}"
27,GO-20051017308,2005-03-23T01:00:00,2005,March,Wednesday,11,Morning,D42,0,1,48.0,Hillcrest Village (48),26,"{u'type': u'Point', u'coordinates': (-79.33627417, 43.80408597)}"
28,GO-2005761483,2005-03-25T01:00:00,2005,March,Friday,21,Evening,D54,0,1,57.0,Broadview North (57),27,"{u'type': u'Point', u'coordinates': (-79.34951116, 43.69136796)}"
29,GO-2005758325,2005-03-25T01:00:00,2005,March,Friday,10,Morning,D51,1,0,76.0,Bay Street Corridor (76),28,"{u'type': u'Point', u'coordinates': (-79.38207764, 43.65909609)}"
30,GO-20051017403,2005-03-25T01:00:00,2005,March,Friday,1,Night,D31,0,1,21.0,Humber Summit (21),29,"{u'type': u'Point', u'coordinates': (-79.5529431, 43.75144038)}"
31,GO-2005961606,2005-03-30T01:00:00,2005,March,Wednesday,3,Evening,D14,0,0,83.0,Dufferin Grove (83),31,"{u'type': u'Point', u'coordinates': (-79.44395755, 43.65808981)}"
32,GO-2005771937,2005-03-31T01:00:00,2005,March,Thursday,16,Afternoon,D23,0,1,7.0,Willowridge-Martingrove-Richview (7),32,"{u'type': u'Point', u'coordinates': (-79.56169399, 43.67894014)}"
33,GO-20051013463,2005-03-31T01:00:00,2005,March,Thursday,15,Afternoon,D23,0,0,1.0,West Humber-Clairville (1),33,"{u'type': u'Point', u'coordinates': (-79.60667875, 43.73372347)}"
34,GO-2005777302,2005-04-01T01:00:00,2005,April,Friday,0,Night,D53,0,2,97.0,Yonge-St.Clair (97),34,"{u'type': u'Point', u'coordinates': (-79.39329174, 43.68623255)}"
35,GO-2005782484,2005-04-02T01:00:00,2005,April,Saturday,2,Night,D52,0,1,77.0,Waterfront Communities-The Island (77),35,"{u'type': u'Point', u'coordinates': (-79.38607074, 43.64739453)}"
36,GO-2005799672,2005-04-07T00:00:00,2005,April,Thursday,3,Night,D22,0,1,17.0,Mimico (includes Humber Bay Shores) (17),36,"{u'type': u'Point', u'coordinates': (-79.4881945, 43.61573777)}"
37,GO-20051008036,2005-04-08T00:00:00,2005,April,Friday,20,Evening,D42,0,1,117.0,L'Amoreaux (117),37,"{u'type': u'Point', u'coordinates': (-79.30300221, 43.79431221)}"
